AIHR Hiring Profile,AIHR 招聘画像,
Hiring Priority,招聘优先级,
Critical,关键补位,
High,高优先级,
Normal,常规推进,
Role Snapshot,岗位快照,
Work Mode,工作模式,
Onsite,现场,
Hybrid,混合办公,
Remote,远程,
Work City,工作城市,
Work Schedule,工作时间,
Salary Currency,薪资币种,
Salary Min,薪资下限,
Salary Max,薪资上限,
Must Have Skills,必备技能,
Nice To Have Skills,加分项技能,
Agency Brief,代理需求简报,
AIHR Recruitment Ops,AIHR 招聘运营,
Posting Owner,发布负责人,
Pipeline Summary,漏斗概览,
Channel Mix,渠道组合,
Daily Sync Time,每日同步时间,
Next Action,下一步动作,
Agency Pack,代理发布包,
AIHR Candidate Ops,AIHR 候选人协同,
Resume Text,简历文本,
AI Summary Card,AI 摘要卡,
AIHR Status,AIHR 状态,
Not Screened,未初筛,
Screened,已初筛,
Manager Review,经理评估中,
Interview,面试中,
Rejected,已淘汰,
Offer,Offer 阶段,
Hired,已录用,
Match Score,匹配分,
Candidate City,候选人城市,
Years Of Experience,工作年限,
Last Contact At,最近联系时间,
Next Action At,下一步时间,
AIHR Interview Ops,AIHR 面试协同,
Interview Snapshot,面试快照,
Interview Mode,面试形式,
Phone,电话,
Video,视频,
Follow Up Owner,跟进负责人,
Feedback Due At,反馈截止时间,
Interviewer Pack,面试官资料包,
AIHR Offer Ops,AIHR Offer 协同,
Offer Snapshot,Offer 快照,
Onboarding Owner,入职负责人,
Payroll Handoff Status,薪酬交接状态,
Not Started,未开始,
Ready,已就绪,
Completed,已完成,
Compensation Notes,薪酬说明,
AIHR Feedback Ops,AIHR 反馈协同,
Feedback Snapshot,反馈快照,
Hiring Recommendation,录用建议,
Strong Yes,强烈推荐,
Yes,推荐,
Maybe,待定,
No,不推荐,
Next Step Suggestion,下一步建议,
AIHR Onboarding Ops,AIHR 入职协同,
Onboarding Snapshot,入职快照,
Handoff Owner,交接负责人,
Payroll Ready,薪酬已就绪,
Preboarding Notes,预入职说明,
Screening Details,初筛详情,
Job Applicant,候选人档案,
Job Opening,招聘中岗位,
Status,状态,
Draft,草稿,
Ready for Review,待经理复核,
Advance,建议推进,
Hold,建议暂缓,
Reject,建议淘汰,
Overall Score,总评分,
Scorecard,评分卡,
Matched Skills,匹配技能,
Missing Skills,缺失技能,
AI Summary,AI 摘要,
Strengths,优势,
Risks,风险点,
Suggested Questions,建议追问问题,
Payload,原始载荷,
Parsed Resume JSON,简历解析 JSON,
Screening Payload JSON,初筛载荷 JSON,
AI Screening,AI 初筛,
Job Requisition,岗位需求单,
Interview,面试安排,
Interview Feedback,面试反馈,
Job Offer,Offer 管理,
AIHR Hiring HQ,AIHR 招聘作战台,
AIHR Manager Review,AIHR 用人经理台,
AIHR Interview Desk,AIHR 面试官台,
Employee Onboarding,入职交接,
HR,人力资源,
New Job Requisition,新建岗位需求单,
Add Job Requisition,新增岗位需求单,
New Job Opening,新建招聘中岗位,
Add Job Opening,新增招聘中岗位,
New Job Applicant,新建候选人档案,
Add Job Applicant,新增候选人档案,
New Interview,新建面试安排,
Add Interview,新增面试安排,
New Interview Feedback,新建面试反馈,
Add Interview Feedback,新增面试反馈,
New Job Offer,新建 Offer,
Add Job Offer,新增 Offer,
New Employee Onboarding,新建入职交接,
Add Employee Onboarding,新增入职交接,
New AI Screening,新建 AI 初筛,
Add AI Screening,新增 AI 初筛,
List View,列表视图,
Filter By,过滤条件,
Assigned To,已分配给,
Created By,创建人,
Last Updated On,最后更新时间,
Edit Filters,编辑过滤器,
Show Tags,显示标签,
Save Filter,保存筛选条件,
Filter Name,过滤器名称,
Clear all filters,清空全部过滤条件,
Liked by me,我的收藏,
Not Saved,尚未保存,
Details,详细信息,
Job Description,职位描述,
Naming Series,编号规则,
Timelines,时间安排,
ID,编号,
Designation,职位,
Save,保存,
Posting Date,发布日期,
Begin typing for results.,开始输入以查看结果。,
Expected Compensation,预期薪酬,
Requested By,需求提出人,
Requested By (Name),需求提出人姓名,
No. of Positions,招聘人数,
No of. Positions,招聘人数,
Expected By,期望到岗日期,
Open & Approved,已审批开放,
Pending,待处理,
On Hold,已搁置,
Filled,已招满,
Cancelled,已取消,
